#{"t_start": 1770295461.3780954, "env_id": "None"}
r,l,t
17.726,74,0.955942
11.714,25,0.956584
9.952,52,0.957734
22.885,106,0.96
4.182,30,0.960716
2.112,36,1.241323
4.584,39,1.279629
10.464,51,1.333515
8.036,44,1.381957
19.339,64,1.443352
2.789,20,1.461952
13.525,46,1.50842
-0.641,13,1.522554
5.696,29,1.551782
18.684,78,1.62684
25.649,128,1.741897
15.832,64,1.804127
-0.586,8,1.813123
28.011,141,1.939236
41.499,140,2.070298
48.811,160,2.21686
0.807,18,2.234349
0.317,17,2.252299
-1.087,8,2.261395
15.733,73,2.329924
0.774,21,2.350282
25.77,117,2.45772
1.754,23,2.479393
14.131,82,2.556754
6.098,38,2.591533
4.617,36,2.629945
4.573,40,2.666981
9.495,48,2.710227
4.837,16,2.729609
1.809,18,2.748105
2.778,21,2.769053
5.107,37,2.804047
10.574,41,2.845413
25.324,112,2.946678
11.901,57,2.999055
12.501,48,3.046408
29.167,127,4.827985
21.514,94,4.916493
37.778,164,5.066358
12.881,59,5.12353
3.527,44,5.165655
1.33,16,5.181248
13.349,62,5.242014
7.056,42,5.282622
1.242,24,5.30829
11.51,47,5.354357
5.151,33,5.387065
-0.586,8,5.395923
3.257,23,5.422005
6.687,30,5.452136
13.068,42,5.49264
2.299,19,5.514383
19.117,35,5.548914
25.181,125,5.66443
58.298,257,5.895719
13.426,55,5.947654
0.394,10,5.958494
42.125,130,6.0804
6.61,37,6.113984
11.334,63,6.17745
9.506,47,6.222382
-1.076,7,6.233699
0.394,10,6.244372
12.817,15,6.261094
8.592,39,6.298032
10.409,56,6.352928
-1.109,10,6.363529
26.359,109,6.466523
14.786,68,6.528045
1.787,20,6.550951
7.056,42,6.591282
0.328,16,6.607611
15.821,65,6.671665
-0.608,10,6.682346
7.491,48,6.726143
6.263,23,6.749363
4.793,20,6.773152
4.771,22,8.20004
29.266,118,8.304906
6.131,35,8.336044
37.15,130,8.46558
-0.63,12,8.481182
0.383,11,8.492407
8.493,48,8.542812
2.222,26,8.567293
19.934,101,8.662189
23.408,104,8.757544
-0.641,13,8.770832
35.774,164,8.916033
36.33,159,9.058743
9.831,63,9.115836
7.59,39,9.15498
4.281,21,9.175845
8.124,36,9.210632
28.297,115,9.320643
44.126,179,9.485464
-1.109,10,9.495516
42.975,147,9.631723
52.253,166,9.788937
37.194,126,9.903677
9.561,42,9.941538
27.179,80,10.018071
58.678,268,11.828498
58.931,245,12.044907
53.062,232,12.249737
46.857,204,12.439489
10.662,33,12.473995
50.283,163,12.623247
22.34,61,12.68388
10.932,54,12.734578
0.361,13,12.747553
5.129,35,12.784517
29.222,122,12.900907
19.774,70,12.968491
2.09,38,13.003396
36.787,163,13.154547
